"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8159","should apply for leave successfully","e2e","2026-04-24","passed","2026-04-24","Apply Leave","e2e/leave/apply-leave.spec.ts","",""
"","1789","should create a vacancy via POST","api","2026-04-24","passed","2026-04-24","Recruitment API","api/recruitment.api.spec.ts","",""
"","9211","should display error for invalid username","e2e","2026-04-24","passed","2026-04-24","Login","e2e/auth/login.spec.ts","",""
"","14523","should redirect to login page after logout","e2e","2026-04-24","passed","2026-04-24","Login","e2e/auth/login.spec.ts","",""
"","3828","should find employee by partial name","e2e","2026-04-24","passed","2026-04-24","Search Employee","e2e/pim/search-employee.spec.ts","",""
"","4082","should retrieve a specific employee by empNumber","api","2026-04-24","passed","2026-04-24","Employees API","api/employees.api.spec.ts","",""
"","1162","should retrieve vacancies list","api","2026-04-24","passed","2026-04-24","Recruitment API","api/recruitment.api.spec.ts","",""
"","2304","should create a new employee via POST","api","2026-04-24","passed","2026-04-24","Employees API","api/employees.api.spec.ts","",""
"","5174","should display validation errors for empty fields","e2e","2026-04-24","passed","2026-04-24","Login","e2e/auth/login.spec.ts","",""
"","2667","should return 404 for a non-existent employee","api","2026-04-24","passed","2026-04-24","Employees API","api/employees.api.spec.ts","",""
"","5203","should find employee by exact name","e2e","2026-04-24","passed","2026-04-24","Search Employee","e2e/pim/search-employee.spec.ts","",""
"","1231","should return employee list with pagination","api","2026-04-24","passed","2026-04-24","Employees API","api/employees.api.spec.ts","",""
"","13415","should redirect to dashboard after valid login","e2e","2026-04-24","passed","2026-04-24","Login","e2e/auth/login.spec.ts","",""
"","2978","should add a candidate via POST","api","2026-04-24","passed","2026-04-24","Recruitment API","api/recruitment.api.spec.ts","",""
"","9614","should add employee with login credentials enabled","e2e","2026-04-24","passed","2026-04-24","Add Employee","e2e/pim/add-employee.spec.ts","",""
"","7699","should display leave list after search","e2e","2026-04-24","passed","2026-04-24","Leave List","e2e/leave/leave-list.spec.ts","",""
"","1292","should retrieve leave types list","api","2026-04-24","passed","2026-04-24","Leave API","api/leave.api.spec.ts","",""
"","8988","should add a new candidate with required fields","e2e","2026-04-24","passed","2026-04-24","Add Candidate","e2e/recruitment/add-candidate.spec.ts","",""
"","2857","should create a leave request via POST","api","2026-04-24","passed","2026-04-24","Leave API","api/leave.api.spec.ts","",""
"","9918","should add a new employee with first and last name only","e2e","2026-04-24","passed","2026-04-24","Add Employee","e2e/pim/add-employee.spec.ts","",""
"","2885","should retrieve leave entitlements for an employee","api","2026-04-24","passed","2026-04-24","Leave API","api/leave.api.spec.ts","",""
"","9717","should view vacancy details","e2e","2026-04-24","passed","2026-04-24","Vacancies","e2e/recruitment/vacancies.spec.ts","",""
"","10476","authenticate as admin user","setup","2026-04-24","passed","2026-04-24","","auth.setup.ts","",""
"","37998","should shortlist a candidate","e2e","2026-04-24","passed","2026-04-24","Add Candidate","e2e/recruitment/add-candidate.spec.ts","",""
"","22873","should assign leave to an employee as admin","e2e","2026-04-24","failed","2026-04-24","Apply Leave","e2e/leave/apply-leave.spec.ts","",""
"","4427","should show no results for non-existent name","e2e","2026-04-24","passed","2026-04-24","Search Employee","e2e/pim/search-employee.spec.ts","",""
"","6113","should delete an existing employee","e2e","2026-04-24","passed","2026-04-24","Add Employee","e2e/pim/add-employee.spec.ts","",""
"","4734","should filter leave list by pending status","e2e","2026-04-24","passed","2026-04-24","Leave List","e2e/leave/leave-list.spec.ts","",""
"","8192","should delete a candidate via DELETE","api","2026-04-24","passed","2026-04-24","Recruitment API","api/recruitment.api.spec.ts","",""
"","5112","should delete an employee via DELETE","api","2026-04-24","passed","2026-04-24","Employees API","api/employees.api.spec.ts","",""
"","10552","should search candidates by name","e2e","2026-04-24","passed","2026-04-24","Add Candidate","e2e/recruitment/add-candidate.spec.ts","",""
"","24539","should create a new vacancy","e2e","2026-04-24","passed","2026-04-24","Vacancies","e2e/recruitment/vacancies.spec.ts","",""
"","11305","should display error for invalid password","e2e","2026-04-24","passed","2026-04-24","Login","e2e/auth/login.spec.ts","",""
